customer_field,biqh_import_field,description,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
IndicationsSocialRiskReason,IndicationsSocialRiskReason,,nvarchar(max),dbo,ObjectRisk,SocialNote,ObjectRiskCategory,Code,General,nvarchar(50),Object,new
CorpSocialQualitative_LegalRisk,CorpSocialQualitative_LegalRisk,,nvarchar(max),dbo,SocialSustainability,SocialPillarRisk,SustainabilityReport,SocialSustainabilityId,,int,Statement,
CorpSocialQualitative_LegalRiskReason,CorpSocialQualitative_LegalRiskReason,,nvarchar(max),dbo,SocialSustainability,SocialPillarRiskNote,SustainabilityReport,SocialSustainabilityId,,int,Statement,
IndicationsGovernanceRisk,IndicationsGovernanceRisk,,nvarchar(max),dbo,ObjectRisk,Governance,ObjectRiskCategory,Code,General,nvarchar(50),Object,new
IndicationsGovernanceRiskReason,IndicationsGovernanceRiskReason,,nvarchar(max),dbo,ObjectRisk,GovernanceNote,ObjectRiskCategory,Code,General,nvarchar(50),Object,new
CorpGovernanceQualitative_LegalRisk,CorpGovernanceQualitative_LegalRisk,,nvarchar(max),dbo,GovernanceSustainability,GovernancePillarRisk,SustainabilityReport,GovernanceSustainabilityId,,int,Statement,
CorpGovernanceQualitative_LegalRiskReason,CorpGovernanceQualitative_LegalRiskReason,,nvarchar(max),dbo,GovernanceSustainability,GovernancePillarRiskNote,SustainabilityReport,GovernanceSustainabilityId,,int,Statement,
LocationResultsDetailed_TotalRiskAfterRelevanceRounded,TotalRiskAfterRelevanceRounded,,decimal(28.20),dbo,ObjectRisk,Total,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,new
CustomerETransitoryEmissionsTotal,CustomerETransitoryEmissionsTotal,,decimal(28.20),dbo,EnvironmentalSustainability,GhgEmissionsTotal,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
CustomerETransitoryWaterTotal,CustomerETransitoryWaterTotal,,decimal(28.20),dbo,EnvironmentalSustainability,WaterEmissionsTotal,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
CustomerETransitoryWasteTotal,CustomerETransitoryWasteTotal,,decimal(28.20),dbo,EnvironmentalSustainability,HazardousWasteProduction,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
