customer_field;biqh_import_field;description;biqh_column_data_type;biqh_table_schema;biqh_parent_table_name;biqh_parent_column_name;biqh_relation_table_name;biqh_relation_column_name;biqh_relation_column_value;biqh_relation_column_data_type;biqh_link_table_name;remarks
Upf1YBA1MMA;UpfrontBidAskSpread1y1m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf1YBA2MMA;UpfrontBidAskSpread1y2m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODConv1YMid;ConventionalSpreadMid1y;;decimal(38.15);dbo;Curve;ConventionalSpreadMid;Tenor;Code;1Y;nvarchar(50);Listing;
Conv1YBASpread;ConventionalBidAskSpread1y;;decimal(38.15);dbo;Curve;ConventionalBidAskSpread;Tenor;Code;1Y;nvarchar(50);Listing;
Conv1YBA1WMA;ConventionalBidAskSpread1y1w;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv1YBA1MMA;ConventionalBidAskSpread1y1m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv1YBA2MMA;ConventionalBidAskSpread1y2m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
1YUniquePP;UniquePricePoint1y;;int;dbo;Curve;UniquePricePoint;Tenor;Code;1Y;nvarchar(50);Listing;
1YUniquePP1WMA;UniquePricePoint1y1w;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
1YUniquePP1MMA;UniquePricePoint1y1m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
1YUniquePP2MMA;UniquePricePoint1y2m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
1YDealersCount;DealerQuoteSizeTenor1y;;int;dbo;Curve;DealerQuoteSizeTenor;Tenor;Code;1Y;nvarchar(50);Listing;
DC1Y1WMA;DealerQuoteSizeTenor1y1w;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC1Y1MMA;DealerQuoteSizeTenor1y1m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC1Y2MMA;DealerQuoteSizeTenor1y2m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
1YQuotesCount;QuoteSizeTenor1y;;int;dbo;Curve;QuoteSizeTenor;Tenor;Code;1Y;nvarchar(50);Listing;
QC1Y1WMA;QuoteSizeTenor1y1w;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC1Y1MMA;QuoteSizeTenor1y1m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC1Y2MMA;QuoteSizeTenor1y2m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODUpf2YMid;UpfrontValueMid2y;;decimal(38.15);dbo;Curve;UpfrontValueMid;Tenor;Code;2Y;nvarchar(50);Listing;
Upf2YBASpread;UpfrontBidAskSpread2y;;decimal(38.15);dbo;Curve;UpfrontBidAskSpread;Tenor;Code;2Y;nvarchar(50);Listing;
Upf2YBA1WMA;UpfrontBidAskSpread2y1w;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf2YBA1MMA;UpfrontBidAskSpread2y1m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf2YBA2MMA;UpfrontBidAskSpread2y2m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODConv2YMid;ConventionalSpreadMid2y;;decimal(38.15);dbo;Curve;ConventionalSpreadMid;Tenor;Code;2Y;nvarchar(50);Listing;
Conv2YBASpread;ConventionalBidAskSpread2y;;decimal(38.15);dbo;Curve;ConventionalBidAskSpread;Tenor;Code;2Y;nvarchar(50);Listing;
Conv2YBA1WMA;ConventionalBidAskSpread2y1w;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv2YBA1MMA;ConventionalBidAskSpread2y1m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv2YBA2MMA;ConventionalBidAskSpread2y2m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
2YUniquePP;UniquePricePoint2y;;int;dbo;Curve;UniquePricePoint;Tenor;Code;2Y;nvarchar(50);Listing;
2YUniquePP1WMA;UniquePricePoint2y1w;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
2YUniquePP1MMA;UniquePricePoint2y1m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
2YUniquePP2MMA;UniquePricePoint2y2m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
2YDealersCount;DealerQuoteSizeTenor2y;;int;dbo;Curve;DealerQuoteSizeTenor;Tenor;Code;2Y;nvarchar(50);Listing;
DC2Y1WMA;DealerQuoteSizeTenor2y1w;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC2Y1MMA;DealerQuoteSizeTenor2y1m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC2Y2MMA;DealerQuoteSizeTenor2y2m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
2YQuotesCount;QuoteSizeTenor2y;;int;dbo;Curve;QuoteSizeTenor;Tenor;Code;2Y;nvarchar(50);Listing;
QC2Y1WMA;QuoteSizeTenor2y1w;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC2Y1MMA;QuoteSizeTenor2y1m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC2Y2MMA;QuoteSizeTenor2y2m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODUpf3YMid;UpfrontValueMid3y;;decimal(38.15);dbo;Curve;UpfrontValueMid;Tenor;Code;3Y;nvarchar(50);Listing;
Upf3YBASpread;UpfrontBidAskSpread3y;;decimal(38.15);dbo;Curve;UpfrontBidAskSpread;Tenor;Code;3Y;nvarchar(50);Listing;
Upf3YBA1WMA;UpfrontBidAskSpread3y1w;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf3YBA1MMA;UpfrontBidAskSpread3y1m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf3YBA2MMA;UpfrontBidAskSpread3y2m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODConv3YMid;ConventionalSpreadMid3y;;decimal(38.15);dbo;Curve;ConventionalSpreadMid;Tenor;Code;3Y;nvarchar(50);Listing;
Conv3YBASpread;ConventionalBidAskSpread3y;;decimal(38.15);dbo;Curve;ConventionalBidAskSpread;Tenor;Code;3Y;nvarchar(50);Listing;
Conv3YBA1WMA;ConventionalBidAskSpread3y1w;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv3YBA1MMA;ConventionalBidAskSpread3y1m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv3YBA2MMA;ConventionalBidAskSpread3y2m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
