ISIN,RIC,Currency Code,Trade Date,Close Price,MIC
BE6364523629,BE6364523629=RRPS,EUR,9/9/2025,99.223,XAMS
BE6364524635,BE6364524635=RRPS,EUR,9/9/2025,100.954,XAMS
BE6364525640,BE6364525640=RRPS,EUR,9/9/2025,100.923,XAMS
BE6365823044,BE6365823044=RRPS,EUR,9/9/2025,98.53,XAMS
BRSTNCNTF1P8,NTF010127=RRPS,BRL,9/9/2025,975.985091,XAMS
BRSTNCNTF1Q6,NTF010129=RRPS,BRL,9/9/2025,938.366022,XAMS
BRSTNCNTF204,NTF010131=RRPS,BRL,9/9/2025,892.204287,XAMS
BRSTNCNTF238,NTF010135=RRPS,BRL,9/9/2025,830.783551,XAMS
CA06368DW260,06368DW26=RRPS,CAD,9/9/2025,100.899,XAMS
CA06415GH297,06415GH29=RRPS,CAD,9/9/2025,101.734,XAMS
CA135087D358,135087D35=RRPS,CAD,9/9/2025,86.341,XAMS
CA135087M847,135087M84=RRPS,CAD,9/9/2025,98.172,XAMS
CA135087Q491,135087Q49=RRPS,CAD,9/9/2025,101.832,XAMS
CA135087R481,135087R48=RRPS,CAD,9/9/2025,98.878,XAMS
CA135087S216,135087S21=RRPS,CAD,9/9/2025,100.457,XAMS
CA135087S398,135087S39=RRPS,CAD,9/9/2025,100.82,XAMS
CA135087S471,135087S47=RRPS,CAD,9/9/2025,99.882,XAMS
CA135087S547,135087S54=RRPS,CAD,9/9/2025,100.65,XAMS
CA135087S885,135087S88=RRPS,CAD,9/9/2025,100.353,XAMS
CA135087S968,135087S96=RRPS,CAD,9/9/2025,100.399,XAMS
CA135087T461,135087T46=RRPS,CAD,9/9/2025,99.958,XAMS
CA135087VW17,135087VW1=RRPS,CAD,9/9/2025,109.136,XAMS
CA135087WL43,135087WL4=RRPS,CAD,9/9/2025,110.897,XAMS
CA135087WV25,135087WV2=RRPS,CAD,9/9/2025,118.28,XAMS
CA13607H5C22,13607H5C2=RRPS,CAD,9/9/2025,103.793,XAMS
CA318071AG20,318071AG2=RRPS,CAD,9/9/2025,102.769,XAMS
CA438121BD69,438121BD6=RRPS,CAD,9/9/2025,103.527,XAMS
CA448810AC58,448810AC5=RRPS,CAD,9/9/2025,116.868,XAMS
CA68333ZAN74,68333ZAN7=RRPS,CAD,9/9/2025,91.958,XAMS
CA74814ZFH16,74814ZFH1=RRPS,CAD,9/9/2025,91.048,XAMS
CA89116CSU22,89116CSU2=RRPS,CAD,9/9/2025,101.164,XAMS
CA89117F8V45,89117F8V4=RRPS,CAD,9/9/2025,100.544,XAMS
CA89117GX510,89117GX51=RRPS,CAD,9/9/2025,106.525,XAMS
CH0008680370,CH868037=RRPS,CHF,9/9/2025,110.539,XAMS
CH0012032048,ROG.S,CHF,9/9/2025,269.7,XTR
CH0440081393,CH44008139=RRPS,CHF,9/9/2025,98.4,XAMS
CH1224575899,CH122457589=RRPS,EUR,9/9/2025,105.341,XAMS
CH1245295758,CH124529575=RRPS,CHF,9/9/2025,103.634,XAMS
CH1266847149,CH126684714=RRPS,EUR,9/9/2025,103.875,XAMS
CH1305916897,CH130591689=RRPS,EUR,9/9/2025,104.5,XAMS
CH1331113469,CH133111346=RRPS,EUR,9/9/2025,102.453,XAMS
CH1376931536,CH137693153=RRPS,CHF,9/9/2025,101.669,XAMS
CH1414003454,CH141400345=RRPS,EUR,9/9/2025,100,XAMS
CH1433241275,CH143324127=RRPS,EUR,9/9/2025,100.24,XAMS
CH1454185948,CH145418594=RRPS,CHF,9/9/2025,100.235,XAMS
CH1474856957,CH147485695=RRPS,EUR,9/9/2025,100.25,XAMS
CH1478430817,CH147843081=RRPS,EUR,9/9/2025,100.269,XAMS
CL0001974774,BTP0600143=RRPS,CLP,9/9/2025,104.9732,XAMS
CL0002187822,BTP0500335=RRPS,CLP,9/9/2025,95.4046,XAMS
CL0002454248,BTP0470930=RRPS,CLP,9/9/2025,97.352,XAMS
CL0002686989,BTP0501028=RRPS,CLP,9/9/2025,101.9531,XAMS
CL0002798016,BTP0700534=RRPS,CLP,9/9/2025,111.8435,XAMS
CL0002839505,BTP0600433=RRPS,CLP,9/9/2025,105.2071,XAMS
CL0002935048,BTP0621040=RRPS,CLP,9/9/2025,108.1576,XAMS
CL0002951094,BTP0581029=RRPS,CLP,9/9/2025,103.9618,XAMS
CND10008S8G8,CN250003=RRPS,CNY,9/9/2025,99.2692,XAMS
CND10009MKH9,CN250016=RRPS,CNY,9/9/2025,99.7497,XAMS
DE0001030559,DE103055=RRPS,EUR,9/9/2025,99.654,XAMS
DE0001030567,DE103056=RRPS,EUR,9/9/2025,98.744,XAMS
DE0001030583,DE103058=RRPS,EUR,9/9/2025,95.3,XAMS
DE0001053551,DE105355=RRPS,EUR,9/9/2025,96.576,XAMS
DE0001102390,DE110239=RRPS,EUR,9/9/2025,99.395,XAMS
DE0001102499,DE110249=RRPS,EUR,9/9/2025,91.056,XAMS
DE0001102523,DE110252=RRPS,EUR,9/9/2025,95.94,XAMS
DE0001102572,DE110257=RRPS,EUR,9/9/2025,42.32,XAMS
DE0001102598,DE110259=RRPS,EUR,9/9/2025,79.926,XAMS
DE0001102606,DE110260=RRPS,EUR,9/9/2025,95.677,XAMS
DE0001102622,DE110262=RRPS,EUR,9/9/2025,99.841,XAMS
DE0001135176,DE113517=RRPS,EUR,9/9/2025,116.086,XAMS
DE0001135226,DE113522=RRPS,EUR,9/9/2025,117.266,XAMS
DE0001135275,DE113527=RRPS,EUR,9/9/2025,111.886,XAMS
DE0001135325,DE113532=RRPS,EUR,9/9/2025,114.86,XAMS
DE0001141844,DE114184=RRPS,EUR,9/9/2025,97.986,XAMS
DE0001141869,DE114186=RRPS,EUR,9/9/2025,98.764,XAMS
DE000A0S9GB0,4GLD.DE,EUR,9/9/2025,99.755,FRA
DE000A11QE86,DEA11QE8=RRPS,EUR,9/9/2025,97.967,XAMS
DE000A14J0Q0,DEA14J0Q=RRPS,EUR,9/9/2025,99.661,XAMS
